instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/Interball-1/ELECTRON,Interball-1,ELECTRON,3D Electron Distribution Function (ELECTRON),Interball-1 ELECTRON quadrispherical electrostatic analyzer measuring 3D electron distribution functions from 10 eV to 26 keV
spase://SMWG/Instrument/Interball-1/DOK2,Interball-1,DOK2,Energetic Proton/Electron Spectrometer DOK-2,Interball-1 DOK-2 energetic proton and electron spectrometer measuring magnetospheric energetic particle populations
spase://SMWG/Instrument/Interball-1/SKA2,Interball-1,SKA2,Low and Energetic Charged Particle Composition and Anisotropy (SKA-2),Interball-1 SKA-2 energetic ion analyzer measuring solar wind H+ and He++ fluxes and energy-angle distributions near the Sun direction
spase://SMWG/Instrument/Interball-1/PROMICS3,Interball-1,PROMICS3,Ion Composition 3D Spectrometer (PROMICS-3),Interball-1 PROMICS-3 ion composition 3D mass spectrometer measuring ion mass-resolved distributions and electron spectra in space plasma
spase://SMWG/Instrument/Interball-1/VDP,Interball-1,VDP,Omnidirectional Plasma Sensor Faraday Cups (VDP),Interball-1 VDP omnidirectional Faraday cup plasma sensor measuring integral ion and electron flux vectors and energetic spectra of magnetospheric plasma
spase://SMWG/Instrument/Interball-1/Ephemeris,Interball-1,Ephemeris,Interball-1 Orbit,Interball-1 ephemeris/orbit data product providing spacecraft position and trajectory information
spase://SMWG/Instrument/Magion-4/Ephemeris,Magion-4,Ephemeris,Magion-4 Orbit,Magion-4 ephemeris/orbit data product providing spacecraft position and trajectory information
spase://SMWG/Instrument/Juno/Ephemeris,Juno,Ephemeris,Juno Positions,Juno spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/LANL/1990/MPA,LANL Spacecraft Series,MPA,LANL1990 Magnetospheric Plasma Analyzer,LANL spacecraft series MPA electrostatic analyzer measuring 3D ion and electron energy-per-charge distributions at geosynchronous orbit
spase://SMWG/Instrument/LANL/1990/SOPA,LANL Spacecraft Series,SOPA,LANL1990 Synchronous Orbit Particle Analyzer,LANL spacecraft SOPA energetic particle spectrometer measuring trapped and injected electrons and ions at geosynchronous orbit
spase://SMWG/Instrument/LANL/1991/MPA,LANL Spacecraft Series,MPA,LANL1991 Magnetospheric Plasma Analyzer,LANL 1991 MPA electrostatic analyzer measuring 3D ion and electron energy-per-charge distributions at geosynchronous orbit
spase://SMWG/Instrument/LANL/1991/SOPA,LANL Spacecraft Series,SOPA,LANL1991 Synchronous Orbit Particle Analyzer,LANL Synchronous Orbit Particle Analyzer energetic particle telescope measuring energetic electron and ion fluxes on LANL spacecraft
spase://SMWG/Instrument/LANL/1994/MPA,LANL Spacecraft Series,MPA,LANL1994 Magnetospheric Plasma Analyzer,LANL 1994 MPA electrostatic analyzer measuring 3D ion and electron energy-per-charge distributions at geosynchronous orbit
spase://SMWG/Instrument/LANL/1994/SOPA,LANL Spacecraft Series,SOPA,LANL1994 Synchronous Orbit Particle Analyzer,LANL Synchronous Orbit Particle Analyzer (SOPA) energetic particle telescope measuring electron and ion fluxes on LANL spacecraft
spase://SMWG/Instrument/LANL/1997/MPA,LANL Spacecraft Series,MPA,LANL1997 Magnetospheric Plasma Analyzer,LANL 1997 MPA electrostatic analyzer measuring 3D ion and electron energy-per-charge distributions at geosynchronous orbit
spase://SMWG/Instrument/LANL/1997/SOPA,LANL Spacecraft Series,SOPA,LANL1997 Synchronous Orbit Particle Analyzer,LANL Synchronous Orbit Particle Analyzer energetic particle telescope measuring energetic electron and ion fluxes on LANL spacecraft
spase://SMWG/Instrument/LANL/1989/MPA,LANL Spacecraft Series,MPA,LANL1989 Magnetospheric Plasma Analyzer,LANL 1989 MPA electrostatic analyzer measuring three-dimensional ion and electron energy-per-charge distributions at geosynchronous orbit
spase://SMWG/Instrument/LANL/1989/SOPA,LANL Spacecraft Series,SOPA,LANL1989 Synchronous Orbit Particle Analyzer,LANL Synchronous Orbit Particle Analyzer energetic particle telescope measuring energetic electron and ion fluxes on LANL spacecraft
spase://SMWG/Instrument/MAVEN/Ephemeris,Mars Atmosphere and Volatile Evolution,Ephemeris,MAVEN Ephemeris,MAVEN spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/MESSENGER/Ephemeris,MESSENGER,Ephemeris,MESSENGER Positions,MESSENGER spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/MESSENGER/Magnetometer,MESSENGER,Magnetometer,Magnetometer,MESSENGER MAG three-axis fluxgate magnetometer measuring vector magnetic fields around Mercury
spase://SMWG/Instrument/MetOp/B/SEM-2,MetOp-A,SEM-2,Space Environmental Monitor-2 (SEM-2),MetOp-A SEM-2 energetic particle spectrometer measuring charged particle fluxes and radiation belt intensity at satellite altitude
spase://SMWG/Instrument/MetOp/A/SEM-2,MetOp-A,SEM-2,Space Environmental Monitor-2 (SEM-2),MetOp-A SEM-2 energetic particle spectrometer measuring charged particle fluxes and radiation belt intensity at satellite altitude
spase://SMWG/Instrument/MMS/1/InstrumentControl/ASPOC,MMS,ASPOC,MMS 1 Active Spacecraft Potential Control (ASPOC) Instrument,MMS-1 EDP/ASPOC spacecraft potential control instrument emitting indium ion beams to reduce positive spacecraft charging
spase://SMWG/Instrument/MMS/1/FIELDS/DSP,MMS,DSP,"MMS 1 FIELDS Suite, Digital Signal Processor (DSP)",MMS-1 FIELDS/DSP digital signal processor conditioning and digitizing electric field double-probe and search-coil magnetometer wave measurements
spase://SMWG/Instrument/MMS/1/FIELDS/SCM,MMS,SCM,"MMS 1 FIELDS Suite, Search Coil Magnetometer (SCM) Instrument",MMS-1 FIELDS/SCM search-coil magnetometer measuring երեք-axis AC magnetic field fluctuations up to 6 kHz
spase://SMWG/Instrument/MMS/1/FIELDS/ADP,MMS,ADP,"MMS 1 FIELDS Suite, Axial Double Probe (ADP) Instrument",MMS-1 FIELDS/ADP axial double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields
spase://SMWG/Instrument/MMS/1/FIELDS/SDP,MMS,SDP,"MMS 1 FIELDS Suite, Spin-plane Double Probe (SDP) Instrument",MMS-1 FIELDS/SDP double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields in the spin plane
spase://SMWG/Instrument/MMS/1/FIELDS/EDI,MMS,EDI,"MMS 1 FIELDS Suite, Electron Drift Instrument (EDI)",MMS-1 FIELDS/EDI electron drift instrument measuring electric and magnetic fields from modulated ~1 keV electron beam drifts
spase://SMWG/Instrument/MMS/1/EnergeticParticleDetector/EIS,MMS,EIS,"MMS 1 Energetic Particle Detector (EPD) Suite, Energetic Ion Spectrometer (EIS) Instrument",MMS-1 EPD-EIS energetic ion spectrometer measuring suprathermal ion composition and angular distributions from ~45 to 500 keV
spase://SMWG/Instrument/MMS/1/FIELDS/FGM,MMS,FGM,"MMS 1 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument",MMS-1 FIELDS/FGM fluxgate magnetometer measuring three-axis DC magnetic field vectors
spase://SMWG/Instrument/MMS/1/EnergeticParticleDetector/FEEPS,MMS,FEEPS,"MMS 1 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument",MMS-1 EPD/FEEPS energetic particle detector measuring three-dimensional energetic electron and ion flux distributions from ~25 to 500 keV
spase://SMWG/Instrument/MMS/1/FastPlasmaInstrument/DES,MMS,DES,"MMS 1 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument",MMS-1 FPI/DES dual electron electrostatic spectrometers measuring 3D electron distributions in the magnetospheric plasma
spase://SMWG/Instrument/MMS/1/FastPlasmaInstrument/DIS,MMS,DIS,"MMS 1 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument",MMS-1 FPI/DIS dual ion electrostatic spectrometer measuring 3D ion distributions and plasma moments
spase://SMWG/Instrument/MMS/1/HotPlasmaCompositionAnalyzer,MMS,HotPlasmaCompositionAnalyzer,MMS 1 Hot Plasma Composition Analyzer (HPCA) Instrument,"MMS-1 HPCA ion composition analyzer measuring hot plasma ion species, energies, and distributions"
spase://SMWG/Instrument/MMS/1/Ephemeris,MMS,Ephemeris,MMS 1 Ephemeris,MMS-1 ephemeris data product providing spacecraft position and velocity vectors
spase://SMWG/Instrument/MMS/2/InstrumentControl/ASPOC,MMS,ASPOC,MMS 2 Active Spacecraft Potential Control (ASPOC) Instrument,MMS-2 ASPOC spacecraft potential control instrument emitting indium ion beams to regulate spacecraft potential for plasma measurements
spase://SMWG/Instrument/MMS/2/FIELDS/DSP,MMS,DSP,"MMS 2 FIELDS Suite, Digital Signal Processor (DSP)",MMS-2 FIELDS/DSP digital signal processor conditioning and digitizing electric field double-probe and search-coil magnetometer waveforms
spase://SMWG/Instrument/MMS/2/FIELDS/SCM,MMS,SCM,"MMS 2 FIELDS Suite, Search Coil Magnetometer (SCM) Instrument",MMS-2 FIELDS/SCM search-coil magnetometer measuring երեք-axis AC magnetic field fluctuations up to 6 kHz
spase://SMWG/Instrument/MMS/2/FIELDS/ADP,MMS,ADP,"MMS 2 FIELDS Suite, Axial Double Probe (ADP) Instrument",MMS-2 FIELDS/ADP axial double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields
spase://SMWG/Instrument/MMS/2/FIELDS/SDP,MMS,SDP,"MMS 2 FIELDS Suite, Spin-plane Double Probe (SDP) Instrument",MMS-2 FIELDS/SDP spin-plane double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields
spase://SMWG/Instrument/MMS/2/FIELDS/EDI,MMS,EDI,"MMS 2 FIELDS Suite, Electron Drift Instrument (EDI)",MMS-2 FIELDS/EDI electron drift instrument measuring electric and magnetic fields from ~1 keV electron beam drifts
spase://SMWG/Instrument/MMS/2/EnergeticParticleDetector/EIS,MMS,EIS,"MMS 2 Energetic Particle Detector (EPD) Suite, Energetic Ion Spectrometer (EIS) Instrument",MMS-2 EPD-EIS energetic ion spectrometer measuring suprathermal ion composition and angular distributions from ~45 to 500 keV
spase://SMWG/Instrument/MMS/2/FIELDS/FGM,MMS,FGM,"MMS 2 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument",MMS-2 FIELDS/FGM fluxgate magnetometer measuring three-axis DC magnetic field vectors
spase://SMWG/Instrument/MMS/2/EnergeticParticleDetector/FEEPS,MMS,FEEPS,"MMS 2 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument",MMS-2 EPD/FEEPS energetic particle sensor measuring three-dimensional energetic electron and ion flux distributions from ~25 to 500 keV electrons and ~45 to 500 keV ions
spase://SMWG/Instrument/MMS/2/FastPlasmaInstrument/DES,MMS,DES,"MMS 2 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument",MMS-2 FPI/DES dual electron electrostatic spectrometers measuring 3D electron distributions and moments
spase://SMWG/Instrument/MMS/2/FastPlasmaInstrument/DIS,MMS,DIS,"MMS 2 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument",MMS-2 FPI/DIS dual ion electrostatic spectrometer measuring 3D ion distributions and moments
spase://SMWG/Instrument/MMS/2/HotPlasmaCompositionAnalyzer,MMS,HotPlasmaCompositionAnalyzer,MMS 2 Hot Plasma Composition Analyzer (HPCA) Instrument,MMS-2 FPI/HPCA ion composition spectrometer measuring hot plasma ion species and distribution functions
spase://SMWG/Instrument/MMS/2/Ephemeris,MMS,Ephemeris,MMS 2 Ephemeris,MMS-2 ephemeris spacecraft position and trajectory data product for the Magnetospheric Multiscale mission
spase://SMWG/Instrument/MMS/3/FIELDS/DSP,MMS,DSP,"MMS 3 FIELDS Suite, Digital Signal Processor (DSP)",MMS-3 FIELDS/DSP digital signal processor conditioning and digitizing double-probe electric field and search-coil magnetic field waveforms
spase://SMWG/Instrument/MMS/3/FIELDS/SCM,MMS,SCM,"MMS 3 FIELDS Suite, Search Coil Magnetometer (SCM) Instrument",MMS-3 FIELDS/SCM search-coil magnetometer measuring երեք-axis AC magnetic field fluctuations up to 6 kHz
spase://SMWG/Instrument/MMS/3/FIELDS/ADP,MMS,ADP,"MMS 3 FIELDS Suite, Axial Double Probe (ADP) Instrument",MMS-3 FIELDS/ADP axial double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields
spase://SMWG/Instrument/MMS/3/FIELDS/SDP,MMS,SDP,"MMS 3 FIELDS Suite, Spin-plane Double Probe (SDP) Instrument",MMS-3 FIELDS/SDP spin-plane double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields
spase://SMWG/Instrument/MMS/3/FIELDS/EDI,MMS,EDI,"MMS 3 FIELDS Suite, Electron Drift Instrument (EDI)",MMS-3 FIELDS/EDI electron drift instrument measuring electric and magnetic fields from ~1 keV electron beam drifts
spase://SMWG/Instrument/MMS/3/EnergeticParticleDetector/EIS,MMS,EIS,"MMS 3 Energetic Particle Detector (EPD) Suite, Energetic Ion Spectrometer (EIS) Instrument",MMS-3 EPD/EIS energetic ion spectrometer measuring suprathermal ion composition and angular distributions from ~45 to 500 keV
spase://SMWG/Instrument/MMS/3/FIELDS/FGM,MMS,FGM,"MMS 3 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument",MMS-3 FIELDS/FGM fluxgate magnetometer measuring three-axis DC magnetic field vectors
spase://SMWG/Instrument/MMS/3/EnergeticParticleDetector/FEEPS,MMS,FEEPS,"MMS 3 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument",MMS-3 EPD/FEEPS energetic particle detector measuring three-dimensional energetic ion and electron flux distributions from ~25 to 500 keV electrons and ~45 to 500 keV ions
spase://SMWG/Instrument/MMS/3/FastPlasmaInstrument/DES,MMS,DES,"MMS 3 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument",MMS-3 FPI/DES dual electron electrostatic spectrometers measuring 3D electron distributions and moments in the magnetospheric plasma
spase://SMWG/Instrument/MMS/3/FastPlasmaInstrument/DIS,MMS,DIS,"MMS 3 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument",MMS-3 FPI/DIS dual ion electrostatic spectrometer measuring 3D ion distributions and plasma moments
spase://SMWG/Instrument/MMS/3/HotPlasmaCompositionAnalyzer,MMS,HotPlasmaCompositionAnalyzer,MMS 3 Hot Plasma Composition Analyzer (HPCA) Instrument,MMS-3 FPI/HPCA ion composition spectrometer measuring hot plasma ion species and distributions
spase://SMWG/Instrument/MMS/3/Ephemeris,MMS,Ephemeris,MMS 3 Ephemeris,MMS-3 spacecraft ephemeris providing position and velocity vectors for the Magnetospheric Multiscale mission
spase://SMWG/Instrument/MMS/4/InstrumentControl/ASPOC,MMS,ASPOC,MMS 4 Active Spacecraft Potential Control (ASPOC) Instrument,MMS-4 ASPOC spacecraft potential control instrument emitting indium ion beams to regulate spacecraft potential for plasma measurements
spase://SMWG/Instrument/MMS/4/FIELDS/DSP,MMS,DSP,"MMS 4 FIELDS Suite, Digital Signal Processor (DSP)",MMS-4 FIELDS/DSP digital signal processor conditioning and digitizing electric field double-probe and search-coil magnetometer wave measurements
spase://SMWG/Instrument/MMS/4/FIELDS/SCM,MMS,SCM,"MMS 4 FIELDS Suite, Search Coil Magnetometer (SCM) Instrument",MMS-4 FIELDS/SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations up to 6 kHz
spase://SMWG/Instrument/MMS/4/FIELDS/ADP,MMS,ADP,"MMS 4 FIELDS Suite, Axial Double Probe (ADP) Instrument",MMS-4 FIELDS/ADP axial double-probe electric field instrument measuring three-dimensional DC to 100 kHz electric fields
spase://SMWG/Instrument/MMS/4/FIELDS/SDP,MMS,SDP,"MMS 4 FIELDS Suite, Spin-plane Double Probe (SDP) Instrument",MMS-4 FIELDS/SDP spin-plane double-probe electric field instrument measuring DC to 100 kHz three-axis electric fields
spase://SMWG/Instrument/MMS/4/FIELDS/EDI,MMS,EDI,"MMS 4 FIELDS Suite, Electron Drift Instrument (EDI)",MMS-4 FIELDS/EDI electron drift instrument measuring electric and magnetic fields from ~1 keV electron beam drifts
spase://SMWG/Instrument/MMS/4/EnergeticParticleDetector/EIS,MMS,EIS,"MMS 4 Energetic Particle Detector (EPD) Suite, Energetic Ion Spectrometer (EIS) Instrument",MMS-4 EPD-EIS energetic ion spectrometer measuring suprathermal ion composition and angular distributions from ~45 to 500 keV
